AP Ratio,District,Season,Avg Humidity,Crop Name,Transplant,Growth,NDVI_Season_Mean,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Silt,CN_Ratio,Dominant_Soil_Texture,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio
6.700598802,Bagerhat,Kharif 1,70.0,Amra,June,June to August,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
1.118843608,Bagerhat,Kharif 1,72.5,Aus,March,April to july,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
2.055028463,Bagerhat,Kharif 1,67.5,Beans,June,July to Nov,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
2.324951644,Bagerhat,Kharif 1,75.0,Chalkumra,March,April to July,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
#DIV/0!,Bagerhat,Kharif 1,82.5,Dalim,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
1.075362319,Bagerhat,Kharif 1,72.5,Date Palm,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
28.86097319,Bagerhat,Kharif 1,70.0,Green Coconut,May,June to August,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
17.27710843,Bagerhat,Kharif 1,70.0,Green Papaya,June,June to August,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
8.454545455,Bagerhat,Kharif 1,67.5,Guava,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
26.71578947,Bagerhat,Kharif 1,82.5,Jack Fruit,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
8.607142857,Bagerhat,Kharif 1,80.0,Jambura,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
1.775316456,Bagerhat,Kharif 1,80.0,Jhinga,April,May to June,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
5.070496808,Bagerhat,Kharif 1,75.0,Jute,March,April to Aug,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
1.6125,Bagerhat,Kharif 1,72.5,Kakrol,April,May to July,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
0.5294117647,Bagerhat,Kharif 1,90.0,Kolmi Shak,March,April to Aug,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
1.36123348,Bagerhat,Kharif 1,80.0,Lady’s Finger,April,May to June,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
#DIV/0!,Bagerhat,Kharif 1,72.5,Maize 1,March,April to May,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
#DIV/0!,Bagerhat,Kharif 1,85.0,Malta,June,June to August,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
4.994778068,Bagerhat,Kharif 1,70.0,Mango,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
3.642241379,Bagerhat,Kharif 1,77.5,Mukhi Kachu,April,May to Sep,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
11.4,Bagerhat,Kharif 1,80.0,Ripe Papaya,April,No need to do,0.2671469327157075,-41.32489070226504,-1971.9314544901756,-2150.2843108692728,-1374.1847832690569,14.766031142770132,883.0219275597887,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa),656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,22.73
