Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,NDVI,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,Avg_Salinity_Index
598,6.011705686,Kishoreganj,Kharif 2,19.0,77.5,Cauliflower,Sep,Nov to Jan,Feb,3595,30,8.0,70,85,0.1560133859316678,2022,-1423.660005804992,-3507.381505791606,-3512.349585781122,-758.1884314131231,25.351601379914296,876.2439398427628
166,3.36746988,Sunamganj,Kharif 2,21.0,70.0,Puishak,Aug,Sep to Jan,Feb,559,30,12.0,65,75,0.0666668087935832,2022,-1347.9699516634898,-2933.5971908099614,-3010.7646595533224,-186.08341802271,25.310283773096373,786.8752044383048
3,0,Habiganj,Kharif 2,27.5,35.0,Mashkalai,Aug,Sep to Oct,Nov,0,35,20.0,25,45,0.3359780945015982,2022,-328.9118398883493,-888.641183212956,-921.207650330136,-1071.3735796330484,25.349646290725552,696.7802482355273
777,1.812097812,Gazipur,Kharif 2,30.0,80.0,Betelnut,July,Aug to Jan,Jan to March,1408,35,25.0,70,90,0.3907379067285911,2022,0.2289332659145012,-178.3335980070227,-207.37707792568688,-1789.0307949287303,25.35474655292436,785.7530389378867
2485,0.985915493,Chuadanga,Kharif 2,17.5,67.5,Tobacco,Oct,Nov to Feb,Feb to April,2450,20,15.0,50,85,0.4319744474616394,2022,0.4131139884918778,-19.780718179215803,-20.62678472663981,-1006.2881580344184,24.467903695208,710.1506447053257
67515,4.103280752,Rajbari,Rabi,20.0,67.5,Onion,Oct,Nov to March,March to April,277033,25,15.0,65,70,0.4078854179572078,2022,-24.82710739590373,-964.2856653671688,-964.6967158795014,298.9185633062771,13.389099636311574,810.0591390529381
714,0.3823529412,Manikganj,Kharif 2,22.5,82.5,Motor,Oct,Nov to March,March to April,273,30,15.0,75,90,0.3576575761780416,2022,-277.6640348809318,-1458.7220507174875,-1459.333669453999,-831.6619980892406,25.347313547127754,855.2757419547362
290,3.5,Mymensingh,Rabi,20.5,60.0,Maize 2,Dec,Jan  to  March,April,1015,27,14.0,50,70,0.378034064193858,2022,0.2852100822531653,-44.14069488386149,-45.12813999914733,298.16541387603587,11.006850997081829,762.4059923605057
0,#DIV/0!,Barguna,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,0.4406860304590844,2022,-166.40873994908137,-1232.4244033300872,-1241.2887510504654,-231.12565652082955,24.953698016966264,700.9043525517267
512,9.53515625,Jamalpur,Kharif 1,25.0,70.0,Green Coconut,May,June to August,August to September,4882,30,20.0,60,80,0.1941543487343543,2022,0.3022859917389959,-547.585086641086,-548.0996800976127,-2869.2163359777087,23.175670840017982,1146.2616866680137
4,1.25,Bandarban,Kharif 2,18.0,66.5,Carrot,Oct,Nov to Feb,March,5,21,15.0,47,86,0.5951087578377505,2022,0.5948837740627574,4.066763087011733,0.7518120798551262,192.0815944612056,25.35450248763489,481.8611171127872
