District,pH,Organic_Carbon,Nitrogen,Clay,Silt,CN_Ratio,Dominant_Soil_Texture
Bagerhat,5.73,35.62,4.54,28.25,49.48,7.84,Loamy (Thịt/Phù sa)
Bandarban,5.45,18.91,1.99,29.82,31.59,9.5,Loamy (Thịt/Phù sa)
Barguna,5.77,28.09,2.86,29.33,48.27,9.82,Loamy (Thịt/Phù sa)
Barishal,5.59,40.9,2.69,28.4,46.05,15.2,Loamy (Thịt/Phù sa)
Bhola,5.57,20.69,2.03,31.66,41.22,10.19,Loamy (Thịt/Phù sa)
Bogura,6.3,15.58,1.32,36.99,42.73,11.79,Loamy (Thịt/Phù sa)
Brahmanbaria,5.49,25.69,2.83,33.81,38.55,9.07,Loamy (Thịt/Phù sa)
Chandpur,5.52,32.9,3.4,34.64,38.21,9.67,Loamy (Thịt/Phù sa)
Chapai Nawabganj,6.92,13.2,1.17,37.53,42.92,11.27,Loamy (Thịt/Phù sa)
Chattogram,5.46,21.72,1.8,31.18,39.32,12.06,Loamy (Thịt/Phù sa)
Chuadanga,6.47,16.55,1.33,42.32,43.43,12.43,Clayey (Sét)
Coxsbazar,5.51,22.04,1.96,32.1,33.3,11.24,Loamy (Thịt/Phù sa)
Cumilla,5.4,17.5,1.5,36.98,37.43,11.66,Loamy (Thịt/Phù sa)
Dhaka,5.48,17.23,1.47,35.84,31.12,11.71,Loamy (Thịt/Phù sa)
Dinajpur,6.41,14.41,1.24,35.31,39.91,11.61,Loamy (Thịt/Phù sa)
Faridpur,5.74,23.42,1.95,30.59,47.98,12.0,Loamy (Thịt/Phù sa)
Feni,5.49,19.05,1.53,38.96,34.61,12.44,Loamy (Thịt/Phù sa)
Gaibandha,5.9,14.23,1.28,31.83,39.21,11.11,Loamy (Thịt/Phù sa)
Gazipur,5.52,17.0,1.32,34.17,33.55,12.87,Loamy (Thịt/Phù sa)
Gopalganj,5.56,34.91,2.99,29.61,47.24,11.67,Loamy (Thịt/Phù sa)
Habiganj,5.61,22.63,2.16,30.17,33.24,10.47,Loamy (Thịt/Phù sa)
Jamalpur,6.03,16.17,1.51,29.63,41.81,10.7,Loamy (Thịt/Phù sa)
Jashore,6.07,21.41,2.02,31.11,52.43,10.59,Loamy (Thịt/Phù sa)
Jhallokati,5.53,47.39,5.77,29.26,45.24,8.21,Loamy (Thịt/Phù sa)
Jhenaidah,6.2,20.05,1.55,31.91,51.4,12.93,Loamy (Thịt/Phù sa)
Joypurhat,6.43,14.77,1.39,37.87,40.91,10.62,Loamy (Thịt/Phù sa)
Khagrachari,5.43,16.62,1.52,30.93,37.58,10.93,Loamy (Thịt/Phù sa)
Khulna,5.95,40.92,3.75,32.45,51.21,10.91,Loamy (Thịt/Phù sa)
Kishoreganj,5.45,18.19,1.5,31.26,34.14,12.12,Loamy (Thịt/Phù sa)
Kurigram,5.72,18.09,2.21,32.35,31.54,8.18,Loamy (Thịt/Phù sa)
Kushtia,6.22,17.82,1.47,39.7,44.47,12.11,Loamy (Thịt/Phù sa)
Lakshmipur,5.59,33.99,4.02,34.46,34.77,8.45,Loamy (Thịt/Phù sa)
Lalmonirhat,5.71,15.57,1.87,31.11,29.93,8.32,Loamy (Thịt/Phù sa)
Madaripur,5.58,28.76,3.49,30.84,43.87,8.24,Loamy (Thịt/Phù sa)
Magura,6.11,20.14,1.7,31.15,51.14,11.84,Loamy (Thịt/Phù sa)
Manikganj,5.67,19.35,1.61,35.97,39.84,12.01,Loamy (Thịt/Phù sa)
Meherpur,6.61,14.16,1.25,37.82,44.58,11.32,Loamy (Thịt/Phù sa)
Moulvibazar,5.53,18.11,2.71,27.69,32.55,6.68,Loamy (Thịt/Phù sa)
Munshiganj,5.47,18.9,1.79,36.47,36.99,10.55,Loamy (Thịt/Phù sa)
Mymensingh,5.8,16.9,1.64,28.89,39.69,10.3,Loamy (Thịt/Phù sa)
Naogaon,6.67,15.57,1.26,42.98,37.9,12.35,Clayey (Sét)
Narail,5.82,14.55,1.37,29.34,37.04,10.61,Loamy (Thịt/Phù sa)
Narayanganj,5.47,26.4,1.78,35.63,34.64,14.82,Loamy (Thịt/Phù sa)
Narsingdi,5.42,19.27,1.65,35.11,33.69,11.67,Loamy (Thịt/Phù sa)
Natore,6.41,16.25,1.26,44.98,34.37,12.89,Clayey (Sét)
Netrokona,5.77,18.51,1.86,30.27,33.95,9.95,Loamy (Thịt/Phù sa)
Nilphamari,6.05,14.7,1.55,29.72,39.79,9.48,Loamy (Thịt/Phù sa)
Noakhali,5.42,28.22,1.98,35.19,37.68,14.25,Loamy (Thịt/Phù sa)
Pabna,6.12,17.83,1.33,38.53,44.02,13.4,Loamy (Thịt/Phù sa)
Panchagar,5.85,17.03,1.69,24.59,40.01,10.07,Loamy (Thịt/Phù sa)
Patuakhali,5.69,26.86,2.74,31.22,45.47,9.8,Loamy (Thịt/Phù sa)
Pirojpur,5.72,35.33,4.39,29.39,46.68,8.05,Loamy (Thịt/Phù sa)
Rajbari,5.91,20.73,1.69,32.21,49.63,12.26,Loamy (Thịt/Phù sa)
Rajshahi,6.5,17.93,1.27,44.25,36.96,14.11,Clayey (Sét)
Rangamati,5.48,17.42,1.3,29.9,35.75,13.39,Loamy (Thịt/Phù sa)
Rangpur,6.09,14.0,1.42,33.35,40.81,9.85,Loamy (Thịt/Phù sa)
Satkhira,5.93,36.42,4.34,35.01,50.1,8.39,Loamy (Thịt/Phù sa)
Shariatpur,5.51,21.26,2.27,30.69,44.38,9.36,Loamy (Thịt/Phù sa)
Sherpur,5.99,16.48,1.38,31.41,40.21,11.93,Loamy (Thịt/Phù sa)
Sirajganj,6.17,22.38,1.33,41.34,37.28,16.81,Clayey (Sét)
Sunamganj,5.58,19.32,2.36,28.75,30.37,8.18,Loamy (Thịt/Phù sa)
Sylhet,5.42,24.03,1.79,27.71,27.09,13.42,Loamy (Thịt/Phù sa)
Tangail,6.1,19.62,1.74,30.62,38.7,11.27,Loamy (Thịt/Phù sa)
Thakurgaon,5.47,17.8,1.44,36.8,30.17,12.35,Loamy (Thịt/Phù sa)
