OutputOrder,SourceRowId
0,4003
1,1046
2,3191
3,2067
4,4342
5,3781
6,1658
7,1649
8,2053
9,1413
10,224
11,3102
12,160
13,1969
14,1533
15,4098
16,2407
17,3952
18,3027
19,429
20,2788
21,850
22,875
23,2536
24,3337
25,4039
26,3754
27,2164
28,4428
29,3316
30,2879
31,2811
32,1867
33,668
34,4378
35,1136
36,480
37,89
38,3101
39,3666
40,202
41,146
42,46
43,1766
44,3320
45,2493
46,1764
47,1824
48,1314
49,2049
50,3641
51,4430
52,3649
53,3486
54,4214
55,2346
56,2886
57,2150
58,3481
59,2302
60,2950
61,2416
62,4175
63,2217
64,3392
65,1021
66,2583
67,949
68,1962
69,206
70,2468
71,4012
72,1249
73,3279
74,2260
75,3730
76,3803
77,2818
78,3940
79,3089
80,1641
81,1854
82,1808
83,1339
84,1337
85,2891
86,2778
87,3895
88,1928
89,56
90,2623
91,3744
92,4111
93,2273
94,3562
95,748
96,769
97,809
98,2713
99,4010
100,4372
101,1274
102,1700
103,314
104,2440
105,4029
106,4579
107,3756
108,2199
109,1003
110,4167
111,325
112,4284
113,940
114,3334
115,2815
116,4217
117,4198
118,3242
119,706
120,1782
121,1449
122,4494
123,3320
124,4175
125,3076
126,3007
127,4241
128,383
129,153
130,2102
131,611
132,3560
133,2101
134,2333
135,1270
136,277
137,2523
138,2768
139,4101
140,3476
141,1854
142,575
143,3477
144,1419
145,3317
146,2892
147,2374
148,3139
149,1874
150,884
151,3641
152,413
153,1110
154,2406
155,2467
156,1287
157,454
158,1452
159,135
160,649
161,2056
162,1661
163,2604
164,1914
165,4383
166,629
167,860
168,3889
169,1352
170,334
171,3404
172,1945
173,62
174,3311
175,3439
176,2371
177,3874
178,777
179,2203
180,3117
181,249
182,336
183,390
184,508
185,497
186,327
187,4426
188,1940
189,1779
190,463
191,1438
192,1649
193,2761
194,2916
195,578
196,4362
197,4569
198,1962
199,3471
200,1426
201,3475
202,317
203,568
204,678
205,3154
206,1594
207,773
208,3545
209,432
210,2682
211,507
212,3589
213,993
214,4
215,1404
216,2667
217,3485
218,2314
219,3898
220,2148
221,388
222,3607
223,4210
224,1271
225,2390
226,3247
227,3388
228,983
229,4007
230,4516
231,2822
232,1274
233,1206
234,4512
235,2559
236,3058
237,1914
238,56
239,3882
240,1533
241,3047
242,4157
243,4293
244,2347
245,3205
246,1861
247,2071
248,4193
249,1281
250,1993
251,4583
252,317
253,3574
254,4577
255,3192
256,2816
257,3315
258,4183
259,1123
260,2348
261,3781
262,3684
263,1196
264,860
265,2692
266,2316
267,1903
268,1689
269,1594
270,925
271,2223
272,4359
273,1115
274,4008
275,1651
276,1969
277,4479
278,1283
279,1797
280,4178
281,10
282,2967
283,3852
284,3690
285,3482
286,1314
287,3696
288,1541
289,3252
290,2054
291,3683
292,3002
293,2404
294,2848
295,3130
296,2930
297,1581
298,2006
299,4170
300,3872
301,3989
302,2802
303,1000
304,1511
305,3613
306,4505
307,1530
308,3241
