AP_Ratio,District,Season,Avg_Humidity,Crop_Name,Transplant,Growth,NDVI,EVI,LAI,FPAR,Soil_Moisture_mm,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Silt,CN_Ratio,Dominant_Soil_Texture,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,LST_C
2.917481018,Gazipur,Kharif 1,65.0,Taramind,February,March To April,0.300652,0.548991,1.055469,0.0185438,25.814671,788.050297,5.74,16.68,1.36,33.79,33.04,12.27,Loamy,1035.85,25.744864,37.68,16.41,46,2.424688,6.3,40.23,24.56948700000004
0.956118774,Munshiganj,Kharif 1,72.5,Aus,March,April To July,0.34754,0.637789,1.071887,0.0319376,28.605527,897.453905,5.32,19.28,1.77,34.81,36.87,10.88,Loamy,899.64,29.743829,37.73,15.48,51,2.939859,6.08,30.25,27.537723000000028
2.525543831,Brahmanbaria,Kharif 2,67.5,Tobacco,October,Nov To Feb,0.310954,0.570208,0.95838,0.0242637,24.631116,757.6894362057643,5.49,25.69,2.83,33.81,38.55,9.07,Loamy,1124.16,27.68121951219512,33.87,18.72,0,1.6234146341463416,5.66,40.61,27.958943000000037
0.954589629,Khagrachari,Kharif 1,72.5,Aus,March,April To July,0.398106,0.688434,1.365096,0.0280288,28.130246,618.039257,5.68,16.74,1.54,30.28,37.42,10.88,Loamy,1103.4,26.356433,38.7,12.53,25,0.201272,0.95,41.86,25.38867200000004
3.451316312,Sirajganj,Rabi,60.0,Maize 2,December,Jan To March,0.400777,0.683122,1.520855,0.0332177,7.703311,939.45322666773,6.17,22.38,1.33,41.34,37.28,16.81,Clayey,85.72,19.21658333333333,30.4,8.23,0,1.3789166666666666,4.37,4.46,23.33762900000005
2.794225652,Pabna,Kharif 1,70.0,Wood Apple,May,June To August,0.364905,0.62682,1.128065,0.029176,25.036587,885.550668,5.86,18.21,1.31,38.5,43.03,13.91,Loamy,652.84,30.690006,44.13,14.31,55,2.561814,6.74,21.27,28.615144000000043
14.50515464,Jhenaidah,Kharif 1,70.0,Amra,June,June To August,0.43022,0.710619,1.418268,0.0380943,23.7089,766.1341203091143,6.2,20.05,1.55,31.91,51.4,12.93,Loamy,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,19.09,27.924091000000036
5.880100612,Panchagar,Kharif 1,70.0,Guava,April,No Need To Do,0.374982,0.647126,1.222654,0.0288406,33.138064,798.121766,5.87,16.74,1.7,24.57,41.06,9.85,Loamy,1678.85,26.484298,36.28,14.39,20,1.557214,6.35,63.39,24.91197700000004
2.121199027,Khagrachari,Kharif 1,72.5,Wood Apple,May,June To August,0.389654,0.680301,1.049112,0.0314727,27.295359,629.274909,5.26,16.42,1.55,30.81,38.22,10.62,Loamy,1148.68,27.295524,37.44,12.79,21,0.193342,1.09,42.08,26.96209700000003
1.303867403,Gazipur,Kharif 1,70.0,Green Papaya,June,June To August,0.321647,0.598573,0.926061,0.0224978,25.859631,967.6076764862764,5.52,17.0,1.32,34.17,33.55,12.87,Loamy,1043.06,28.513934426229508,40.93,15.5,46,2.537540983606557,6.3,36.58,28.38460900000001
7.700707786,Narsingdi,Kharif 2,80.0,Gourd,July,Aug To Jan,0.40024,0.702908,1.471967,0.0319123,23.525202,736.8481399688882,5.42,19.27,1.65,35.11,33.69,11.67,Loamy,1137.55,27.810325203252034,33.68,18.24,0,1.992032520325204,7.4,40.9,28.754988000000026
0.288804103,Lakshmipur,Kharif 2,90.0,Lentil,October,Nov To Feb,0.350092,0.637592,1.040922,0.0258131,28.366148,800.152562,5.54,35.6,3.94,34.11,34.01,9.04,Loamy,1250.48,28.184373,37.39,18.46,0,2.308439,8.54,44.37,27.52199200000001
8.643547541,Habiganj,Kharif 1,67.5,Guava,April,No Need To Do,0.300278,0.536601,1.109657,0.0188794,29.78179,799.123021,5.82,23.01,2.14,30.3,33.2,10.77,Loamy,1952.13,27.571289,37.4,14.78,25,2.078059,5.8,70.8,26.126839000000015
4.351902401,Tangail,Kharif 1,87.5,Kolmi Shak,March,April To Aug,0.132953,0.280146,0.571771,0.0,24.96061,847.691628,6.06,19.09,1.75,30.3,38.49,10.91,Loamy,1045.58,28.354842,39.6,14.85,61,2.383373,7.16,36.87,29.66388500000005
1.352459016,Madaripur,Rabi,80.0,Laushak,September,Oct To Nov,0.39854,0.679173,1.152833,0.0271729,11.549656,723.598179423401,5.58,28.76,3.49,30.84,43.87,8.24,Loamy,149.59,19.406916666666667,30.54,7.96,0,1.3698333333333332,4.8,7.71,15.059792000000016
5.101251455,Madaripur,Kharif 1,77.5,Mukhi Kachu,April,May To Sep,0.262303,0.502629,0.962875,0.0170035,25.241559,867.019964,5.6,28.23,3.53,31.81,42.22,8.0,Loamy,662.84,28.884577,45.95,15.36,55,2.604651,6.07,22.95,29.405283
32.25132275,Jhenaidah,Kharif 1,70.0,Green Coconut,May,June To August,0.450791,0.748627,1.77331,0.0380467,27.549688,766.1341203091143,6.2,20.05,1.55,31.91,51.4,12.93,Loamy,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,19.09,29.204578000000023
1.1686885,Gazipur,Rabi,55.0,Wheat,December,Jan To March,0.511561,0.815215,2.090698,0.0423604,11.127875,821.237073,5.48,16.83,1.3,34.31,34.19,12.9,Loamy,83.34,19.777096,30.21,8.83,0,1.188938,3.63,4.21,18.25561400000004
2.224548228,Narayanganj,Kharif 2,75.0,Cucumber,September,Nov To March,0.305767,0.567082,0.996163,0.0176967,27.438947,866.446535,5.74,25.71,1.75,36.33,34.77,14.72,Loamy,1188.08,25.629623,32.89,18.77,0,2.371413,7.49,46.35,26.03257400000001
