AP Ratio,District,Season,Avg Humidity,Crop Name,Transplant,Growth,NDVI_Season_Mean,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Silt,CN_Ratio,Dominant_Soil_Texture,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio
2.917481018,Gazipur,Kharif 1,65.0,Taramind,February,March to April,0.300652,0.548991,1.055469,0.185438,297.719487,25.814671,788.050297,5.74,16.68,1.36,33.79,33.04,12.27,Loamy (Thịt/Phù sa),1035.85,25.744864,37.68,16.41,46,2.424688,6.3,40.23
0.956118774,Munshiganj,Kharif 1,72.5,Aus,March,April to july,0.34754,0.637789,1.071887,0.319376,300.687723,28.605527,897.453905,5.32,19.28,1.77,34.81,36.87,10.88,Loamy (Thịt/Phù sa),899.64,29.743829,37.73,15.48,51,2.939859,6.08,30.25
#DIV/0!,Brahmanbaria,Kharif 2,67.5,Tobacco,Oct,Nov to Feb,0.310954,0.570208,0.95838,0.242637,301.108943,24.631116,757.6894362057643,5.49,25.69,2.83,33.81,38.55,9.07,Loamy (Thịt/Phù sa),1124.16,27.68121951219512,33.87,18.72,0,1.6234146341463416,5.66,40.61
0.954589629,Khagrachari,Kharif 1,72.5,Aus,March,April to july,0.398106,0.688434,1.365096,0.280288,298.538672,28.130246,618.039257,5.68,16.74,1.54,30.28,37.42,10.88,Loamy (Thịt/Phù sa),1103.4,26.356433,38.7,12.53,25,0.201272,0.95,41.86
3.451316312,Sirajganj,Rabi,60.0,Maize 2,Dec,Jan  to  March,0.400777,0.683122,1.520855,0.332177,296.487629,7.703311,939.45322666773,6.17,22.38,1.33,41.34,37.28,16.81,Clayey (Sét),85.72,19.21658333333333,30.4,8.23,0,1.3789166666666666,4.37,4.46
2.794225652,Pabna,Kharif 1,70.0,Wood Apple,May,June to August,0.364905,0.62682,1.128065,0.29176,301.765144,25.036587,885.550668,5.86,18.21,1.31,38.5,43.03,13.91,Loamy (Thịt/Phù sa),652.84,30.690006,44.13,14.31,55,2.561814,6.74,21.27
14.50515464,Jhenaidah,Kharif 1,70.0,Amra,June,June to August,0.43022,0.710619,1.418268,0.380943,301.074091,23.7089,766.1341203091143,6.2,20.05,1.55,31.91,51.4,12.93,Loamy (Thịt/Phù sa),558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,19.09
5.880100612,Panchagar,Kharif 1,70.0,Guava,April,No need to do,0.374982,0.647126,1.222654,0.288406,298.061977,33.138064,798.121766,5.87,16.74,1.7,24.57,41.06,9.85,Loamy (Thịt/Phù sa),1678.85,26.484298,36.28,14.39,20,1.557214,6.35,63.39
2.121199027,Khagrachari,Kharif 1,72.5,Wood Apple,May,June to August,0.389654,0.680301,1.049112,0.314727,300.112097,27.295359,629.274909,5.26,16.42,1.55,30.81,38.22,10.62,Loamy (Thịt/Phù sa),1148.68,27.295524,37.44,12.79,21,0.193342,1.09,42.08
1.303867403,Gazipur,Kharif 1,70.0,Green Papaya,June,June to August,0.321647,0.598573,0.926061,0.224978,301.534609,25.859631,967.6076764862764,5.52,17.0,1.32,34.17,33.55,12.87,Loamy (Thịt/Phù sa),1043.06,28.513934426229508,40.93,15.5,46,2.537540983606557,6.3,36.58
