iter	Passed	Remaining
0	3	1074
1	6	913
2	8	840
3	10	789
4	12	757
5	15	753
6	17	737
7	19	729
8	22	724
9	24	720
10	27	711
11	29	703
12	31	699
13	34	699
14	36	692
15	38	688
16	41	683
17	43	682
18	46	684
19	49	686
20	51	684
21	54	682
22	56	679
23	58	674
24	60	670
25	63	666
26	65	663
27	67	658
28	70	654
29	72	650
30	74	646
31	76	643
32	79	642
33	81	641
34	84	640
35	86	637
36	89	634
37	91	631
38	93	628
39	96	625
40	98	622
41	101	622
42	103	619
43	105	615
44	107	611
45	110	608
46	112	605
47	115	605
48	118	604
49	120	604
50	123	603
51	126	601
52	128	599
53	131	600
54	134	598
55	136	595
56	139	593
57	141	590
58	144	588
59	146	587
60	149	584
61	151	581
62	153	577
63	155	574
64	157	570
65	160	567
66	162	564
67	164	561
68	167	559
69	169	556
70	171	554
71	174	551
72	176	550
73	179	548
74	181	545
75	184	543
76	186	540
77	189	538
78	191	536
79	194	534
80	196	532
81	199	529
82	201	527
83	204	525
84	207	524
85	210	524
86	213	523
87	217	523
88	220	521
89	222	519
90	225	517
91	227	515
92	230	512
93	233	510
94	235	508
95	237	505
96	240	503
97	246	508
98	250	508
99	255	511
100	260	512
101	265	514
102	270	516
103	274	516
104	277	515
105	281	514
106	285	514
107	289	514
108	293	513
109	296	511
110	299	509
111	302	507
112	304	504
113	308	503
114	313	503
115	317	502
116	319	500
117	322	497
118	325	495
119	328	493
120	331	490
121	333	487
122	336	484
123	338	480
124	341	477
125	344	475
126	346	472
127	349	469
128	351	466
129	354	463
130	356	460
131	359	457
132	361	454
133	363	450
134	366	447
135	368	444
136	370	441
137	373	438
138	375	434
139	377	431
140	380	428
141	382	425
142	384	422
143	387	419
144	389	416
145	391	413
146	394	410
147	396	407
148	398	404
149	401	401
150	403	398
151	405	395
152	408	392
153	410	388
154	412	385
155	414	382
156	416	379
157	418	376
158	421	373
159	423	370
160	425	367
161	427	364
162	430	361
163	432	358
164	435	355
165	437	353
166	439	350
167	442	347
168	444	344
169	447	342
170	449	339
171	452	336
172	454	333
173	457	331
174	459	328
175	462	325
176	465	323
177	467	320
178	469	317
179	472	314
180	474	312
181	477	309
182	479	306
183	481	303
184	484	300
185	486	298
186	488	295
187	490	292
188	493	289
189	495	286
190	497	284
191	500	281
192	502	278
193	504	275
194	507	273
195	510	270
196	512	268
197	515	265
198	517	262
199	519	259
200	521	257
201	525	254
202	527	252
203	529	249
204	532	246
205	534	244
206	537	241
207	539	238
208	541	235
209	544	233
210	546	230
211	549	227
212	551	225
213	553	222
214	556	219
215	558	217
216	561	214
217	563	212
218	566	209
219	568	206
220	571	204
221	573	201
222	576	198
223	578	196
224	580	193
225	583	190
226	585	188
227	588	185
228	590	183
229	593	180
230	595	177
231	597	175
232	599	172
233	602	169
234	604	167
235	606	164
236	608	161
237	611	159
238	613	156
239	615	153
240	618	151
241	620	148
242	623	146
243	625	143
244	627	140
245	630	138
246	632	135
247	635	133
248	637	130
249	640	128
250	642	125
251	644	122
252	646	120
253	648	117
254	651	114
255	653	112
256	656	109
257	658	107
258	661	104
259	663	102
260	665	99
261	667	96
262	669	94
263	671	91
264	674	89
265	676	86
266	678	83
267	680	81
268	683	78
269	685	76
270	687	73
271	689	71
272	692	68
273	694	65
274	696	63
275	698	60
276	701	58
277	703	55
278	705	53
279	708	50
280	710	48
281	712	45
282	714	42
283	716	40
284	718	37
285	720	35
286	722	32
287	725	30
288	727	27
289	729	25
290	732	22
291	734	20
292	736	17
293	739	15
294	741	12
295	743	10
296	746	7
297	748	5
298	750	2
299	753	0
