iter	Passed	Remaining
0	134	40285
1	137	20414
2	139	13781
3	141	10467
4	143	8479
5	147	7218
6	149	6266
7	151	5545
8	154	4982
9	156	4532
10	158	4162
11	160	3855
12	162	3594
13	165	3371
14	167	3177
15	169	3006
16	171	2855
17	173	2722
18	176	2604
19	178	2499
20	180	2403
21	183	2316
22	185	2236
23	188	2162
24	190	2095
25	193	2034
26	195	1978
27	198	1923
28	200	1873
29	202	1826
30	205	1782
31	207	1740
32	210	1704
33	213	1667
34	215	1632
35	218	1598
36	220	1566
37	222	1535
38	224	1505
39	227	1476
40	229	1449
41	231	1423
42	234	1399
43	236	1376
44	239	1355
45	241	1335
46	244	1316
47	247	1296
48	249	1277
49	251	1259
50	254	1241
51	256	1224
52	259	1207
53	261	1190
54	263	1173
55	265	1156
56	267	1141
57	269	1125
58	272	1111
59	274	1096
60	276	1083
61	278	1069
62	280	1056
63	282	1043
64	285	1030
65	287	1018
66	289	1006
67	292	996
68	294	986
69	297	976
70	299	966
71	302	957
72	305	948
73	307	939
74	310	930
75	312	922
76	315	913
77	317	904
78	320	895
79	322	887
80	325	879
81	327	870
82	330	862
83	332	854
84	334	846
85	337	839
86	339	831
87	341	823
88	344	815
89	346	808
90	349	801
91	351	795
92	354	788
93	356	781
94	359	774
95	361	767
96	363	761
97	365	754
98	368	747
99	370	740
100	372	733
101	374	727
102	376	720
103	378	713
104	380	707
105	383	701
106	385	694
107	387	688
108	389	682
109	391	676
110	393	670
111	395	664
112	397	658
113	399	652
114	401	646
115	403	640
116	406	635
117	408	630
118	410	624
119	413	619
120	415	614
121	418	610
122	420	605
123	423	600
124	425	596
125	428	591
126	431	587
127	433	582
128	436	578
129	438	574
130	441	569
131	444	565
132	446	560
133	449	556
134	451	552
135	454	547
136	457	543
137	459	539
138	462	535
139	464	530
140	467	526
141	469	522
142	472	518
143	474	514
144	477	510
145	479	506
146	482	501
147	484	497
148	486	493
149	489	489
150	491	485
151	493	480
152	495	476
153	497	472
154	500	467
155	502	463
156	504	459
157	506	455
158	508	451
159	510	447
160	512	442
161	515	438
162	517	434
163	519	430
164	521	426
165	523	422
166	525	418
167	528	414
168	530	411
169	532	407
170	535	404
171	538	400
172	541	397
173	543	393
174	545	389
175	548	386
176	551	382
177	553	379
178	555	375
179	557	371
180	560	368
181	562	364
182	565	361
183	567	357
184	569	354
185	571	350
186	574	346
187	576	343
188	578	339
189	581	336
190	583	332
191	585	329
192	587	325
193	590	322
194	592	319
195	594	315
196	597	312
197	599	308
198	602	305
199	604	302
200	606	298
201	608	295
202	611	292
203	613	288
204	616	285
205	618	282
206	620	278
207	623	275
208	625	272
209	627	268
210	629	265
211	632	262
212	634	259
213	637	256
214	639	252
215	641	249
216	643	246
217	646	243
218	648	239
219	650	236
220	652	233
221	655	230
222	657	226
223	659	223
224	661	220
225	663	217
226	666	214
227	668	211
228	670	208
229	673	204
230	675	201
231	677	198
232	680	195
233	682	192
234	684	189
235	686	186
236	689	183
237	691	180
238	693	177
239	696	174
240	699	171
241	701	168
242	704	165
243	706	162
244	708	159
245	710	156
246	713	153
247	715	150
248	717	146
249	720	144
250	722	141
251	725	138
252	727	135
253	729	132
254	731	129
255	734	126
256	736	123
257	739	120
258	741	117
259	743	114
260	746	111
261	748	108
262	750	105
263	752	102
264	755	99
265	757	96
266	760	93
267	762	91
268	765	88
269	767	85
270	769	82
271	771	79
272	774	76
273	776	73
274	778	70
275	780	67
276	783	65
277	785	62
278	787	59
279	789	56
280	792	53
281	794	50
282	796	47
283	798	44
284	801	42
285	803	39
286	805	36
287	807	33
288	809	30
289	811	27
290	814	25
291	816	22
292	819	19
293	822	16
294	824	13
295	827	11
296	830	8
297	833	5
298	835	2
299	838	0
